일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2021-08-25,대구(143),X,29.8,27.7,25.3,22.9,85.6,X, ,X,높음
2021-08-26,대구(143),X,31.5,34.4,27.4,22.9,64.6,X, ,X,매우높음
2021-08-27,대구(143),X,30.0,28.7,23.7,21.5,84.3,X,관심,X,높음
2021-08-28,대구(143),X,30.0,31.9,25.6,20.9,61.8,X,관심,X,높음
2021-08-29,대구(143),X,28.1,26.6,23.6,21.3,78.0,X,관심,X,보통
2021-08-30,대구(143),X,29.5,30.6,25.2,22.0,68.4,X, ,X,보통
2021-08-31,대구(143),X,29.4,29.1,24.4,21.5,74.0,X, ,X,보통
2021-09-01,대구(143),X,30.4,28.2,21.9,20.0,90.8,X, ,X,보통
2021-09-02,대구(143),X,25.4,24.7,21.8,20.1,77.1,X, ,X,보통
2021-09-03,대구(143),X,25.5,22.7,20.5,19.3,86.5,X, ,X,보통
2021-09-04,대구(143),X,26.7,26.8,22.4,18.8,66.4,X, ,X,높음
2021-09-05,대구(143),X,25.7,25.1,21.8,19.3,68.5,X, ,X,보통
2021-09-06,대구(143),X,26.3,25.6,21.8,19.4,78.3,X, ,X,보통
2021-09-07,대구(143),X,27.1,25.5,22.2,19.9,86.0,X, ,X,보통
2021-09-08,대구(143),X,28.1,28.8,23.7,20.1,68.8,X, ,X,높음
2021-09-09,대구(143),X,27.9,29.6,23.7,18.7,67.1,X, ,X,높음
2021-09-10,대구(143),X,27.3,26.3,22.6,20.2,75.5,X, ,X,보통
2021-09-11,대구(143),X,29.2,30.9,23.8,18.5,65.4,X, ,X,매우높음
2021-09-12,대구(143),X,29.8,30.8,24.3,18.2,65.3,X, ,X,매우높음
2021-09-13,대구(143),X,26.2,25.8,23.1,20.9,66.3,X, ,X,높음
2021-09-14,대구(143),X,25.4,24.5,22.5,20.8,68.9,X, ,X,보통
2021-09-15,대구(143),X,26.6,26.7,22.7,19.3,61.6,X, ,X,보통
